,date,Sales
0,2021-01-31,19990.14
1,2021-02-28,20111.25
2,2021-03-31,24303.9
3,2021-04-30,25839.25
4,2021-05-31,32863.65
5,2021-06-30,25144.45
6,2021-07-31,42466.75
7,2021-08-31,49027.75
8,2021-09-30,22778.1
9,2021-10-31,22907.65
10,2021-11-30,19868.05
11,2021-12-31,23060.65
12,2022-01-31,19117.55
13,2022-02-28,20243.45
14,2022-03-31,19952.11
15,2022-04-30,25567.15
16,2022-05-31,31015.45
17,2022-06-30,25627.6
18,2022-07-31,47456.92
19,2022-08-31,54230.55
20,2022-09-30,23683.6
